WELL,START_DATE,END_DATE,WELL START END,LIFETIME,WELL_TYPE,PSN,DHS,ROD_GUIDE,AVE_GROSS,AVE_GAS,PUMP_EFF,OD_PUMP,SL,SPM,SM,TORQUE,LOAD,ROD_STRESS,FREQ_OFF,HOUR_OFF,SAND,GASSY,PARAFFINIC,SCALE,SAND_LEVEL,RIG REPORT
ST-182,22-Dec-17,23-Dec-17,ST-1824309143092,2,VERTICAL,750,SANDTRAP,0,56,4,0.31,2,64,6.0,646,0.321,0.368,0.301,2,30,1,0,0,0,122,
ST-182,17-Nov-20,15-Dec-20,ST-1824415244180,29,VERTICAL,617,MPR,0,25,151,0.14,2,44,8.5,3,0.275,0.354,0.36,24,538,0,1,0,0,0,
ST-182,24-Dec-20,5-May-21,ST-1824418944321,133,VERTICAL,666.5,MPR,0,18,12,0.35,2,44,2.5,120,0.214,0.32,0.32,6,24,0,1,0,0,0,
ST-182,6-May-21,30-May-21,ST-1824432244346,25,VERTICAL,666.5,MPR,0,14,18,0.27,2,44,2.5,114,0.215,0.321,0.321,2,19,1,1,0,0,66,
ST-185,6-Dec-15,30-Apr-17,ST-1854234442855,512,VERTICAL,936,GACT,0,102,144,0.20,2,168,6.5,37,0.77,0.336,0.583,108,134,0,1,0,0,0,
ST-185,24-May-17,13-Oct-17,ST-1854287943021,143,VERTICAL,936,GACT,0,107,117,0.21,2,168,6.5,40,0.769,0.335,0.582,23,85,0,1,0,0,0,
ST-185,16-Oct-17,23-Mar-18,ST-1854302443182,159,VERTICAL,936,GACT,0,92,117,0.18,2,168,6.5,27,0.772,0.336,0.584,15,72,0,1,0,0,0,
ST-185,2-Apr-18,31-Jul-18,ST-1854319243312,121,VERTICAL,936,GACT,0,102,138,0.24,2,168,5.4,3,0.715,0.321,0.554,11,31,0,1,0,0,0,
ST-185,2-Aug-18,1-Jan-19,ST-1854331443466,153,VERTICAL,936,GACT,0,89,122,0.23,2,168,5.0,6,0.693,0.315,0.542,16,47,0,1,0,0,0,
ST-185,5-Jan-19,11-Nov-19,ST-1854347043780,311,VERTICAL,936,MPR,0,76,121,0.31,2,86,6.0,3,0.287,0.351,0.489,33,187,0,1,0,0,0,
ST-185,14-Nov-19,13-Mar-21,ST-1854378344268,486,VERTICAL,934,MPR,0,64,96,0.26,2,86,6.0,4,0.286,0.35,0.488,33,118,0,1,0,0,0,
ST-187,27-Dec-17,27-Feb-18,ST-1874309643158,63,VERTICAL,993,SANDTRAP,0,89,27,0.27,2.5,74,6.0,17,0.46,0.532,0.631,5,34,1,1,0,0,125,
ST-188,6-Jun-16,24-Mar-17,ST-1884252742818,292,VERTICAL,1202,GACT,1,386,44,0.63,2.5,124,6.8,554,0.522,0.385,0.64,43,138,1,1,0,0,195,
ST-188,29-Mar-17,4-Jul-18,ST-1884282343285,463,VERTICAL,899,GACT,1,541,26,0.58,2.8,124,8.0,272,0.638,0.394,0.855,66,187,1,1,0,0,134,
ST-188,9-Jul-18,13-Jul-18,ST-1884329043294,5,VERTICAL,1180,GACT,1,683,71,0.50,3,124,10.5,214,1.204,0.717,1.295,4,56,1,1,0,0,112,
ST-188,16-Jul-18,23-Jul-19,ST-1884329743669,373,VERTICAL,1193,SANDTRAP_SHROUD,1,688,19,0.56,3,145,8.0,516,0.871,0.485,0.824,24,108,1,1,0,0,163,
ST-188,26-Jul-19,4-Sep-19,ST-1884367243712,41,VERTICAL,1192.05,MPR,1,456,15,0.31,3,145,9.8,494,1.024,0.525,0.914,6,8,1,1,0,0,103,
ST-189,24-Jan-16,11-Nov-16,ST-1894239342685,293,VERTICAL,1201.5,SANDTRAP,0,532,5,0.59,2.5,168,7.4,606,0.44,0.42,0.71,8,123,0,0,0,0,0,
ST-189,17-Nov-16,25-Apr-17,ST-1894269142850,160,VERTICAL,1201,SANDTRAP,0,470,3,0.41,2.5,168,9.3,690,0.353,0.405,0.72,6,23,0,0,0,0,0,
ST-189,27-Apr-17,11-Jun-18,ST-1894285243262,411,VERTICAL,1197,SANDTRAP,0,507,2,0.47,2.5,168,8.8,712,0.649,0.396,0.867,13,49,0,0,0,1,0,
ST-189,16-Jun-18,11-Sep-18,ST-1894326743354,88,VERTICAL,896,GACT,0,902,16,0.62,3,168,8.2,195,0.415,0.419,0.762,17,228,0,1,0,1,0,
ST-189,13-Sep-18,8-Dec-18,ST-1894335643442,87,VERTICAL,900,GACT,0,876,9,0.63,3,168,7.9,245,0.387,0.406,0.734,11,95,0,0,0,1,0,
